Taxon	Major_Clade	Minor_Clade	Percentage_in_Family	Percentage_in_Dataset
Paramoeba	Amoebozoa		7.19	5.63
Paramoeba	Amoebozoa		7.19	5.63
Raperostelium	Amoebozoa		7.19	5.63
Raperostelium	Amoebozoa		7.19	5.63
Rhizamoeba	Amoebozoa		7.19	5.63
Stygamoeba	Amoebozoa		7.19	5.63
Unda	Amoebozoa		7.19	5.63
Vermamoeba	Amoebozoa		7.19	5.63
Vexillifera	Amoebozoa		7.19	5.63
Singekia	Apusozoa	Apusomonadida	0.24	0.47
Cymbomonas	Archaeplastida	Chlorophyta	3.6	12.94
Pycnococcus	Archaeplastida	Chlorophyta	3.6	12.94
Aphanochaete	Archaeplastida	Chlorophyta	3.6	12.94
Chlorocladiella	Archaeplastida	Chlorophyta	3.6	12.94
Chlorocladiella	Archaeplastida	Chlorophyta	3.6	12.94
Chloropicon	Archaeplastida	Chlorophyta	3.6	12.94
Crustomastix	Archaeplastida	Chlorophyta	3.6	12.94
Hegewaldia	Archaeplastida	Chlorophyta	3.6	12.94
Oedocladium	Archaeplastida	Chlorophyta	3.6	12.94
Oedogonium	Archaeplastida	Chlorophyta	3.6	12.94
Oocystis	Archaeplastida	Chlorophyta	3.6	12.94
Oocystis	Archaeplastida	Chlorophyta	3.6	12.94
Phaeophila	Archaeplastida	Chlorophyta	3.6	12.94
Polyblepharides	Archaeplastida	Chlorophyta	3.6	12.94
Ulothrix	Archaeplastida	Chlorophyta	3.6	12.94
Prasinococcus	Archaeplastida	Prasinodermophyta	0.24	0.09
Amphiroa	Archaeplastida	Rhodophyta	2.88	3.31
Dixoniella	Archaeplastida	Rhodophyta	2.88	3.31
Gracilaria	Archaeplastida	Rhodophyta	2.88	3.31
Grateloupia	Archaeplastida	Rhodophyta	2.88	3.31
Heterosiphonia	Archaeplastida	Rhodophyta	2.88	3.31
Lithophyllum	Archaeplastida	Rhodophyta	2.88	3.31
Meiodiscus	Archaeplastida	Rhodophyta	2.88	3.31
Melanothamnus	Archaeplastida	Rhodophyta	2.88	3.31
Palisada	Archaeplastida	Rhodophyta	2.88	3.31
Rhodella	Archaeplastida	Rhodophyta	2.88	3.31
Rhodochorton	Archaeplastida	Rhodophyta	2.88	3.31
Rhodothamniella	Archaeplastida	Rhodophyta	2.88	3.31
Klebsormidium	Archaeplastida	Streptophyta	5.52	3.87
Andreaea	Archaeplastida	Streptophyta	5.52	3.87
Chaetosphaeridium	Archaeplastida	Streptophyta	5.52	3.87
Chaetosphaeridium	Archaeplastida	Streptophyta	5.52	3.87
Coleochaete	Archaeplastida	Streptophyta	5.52	3.87
Coleochaete	Archaeplastida	Streptophyta	5.52	3.87
Coleochaete	Archaeplastida	Streptophyta	5.52	3.87
Coleochaete	Archaeplastida	Streptophyta	5.52	3.87
Cosmarium	Archaeplastida	Streptophyta	5.52	3.87
Cylindrocystis	Archaeplastida	Streptophyta	5.52	3.87
Cylindrocystis	Archaeplastida	Streptophyta	5.52	3.87
Gonatozygon	Archaeplastida	Streptophyta	5.52	3.87
Hormidiella	Archaeplastida	Streptophyta	5.52	3.87
Interfilum	Archaeplastida	Streptophyta	5.52	3.87
Klebsormidium	Archaeplastida	Streptophyta	5.52	3.87
Klebsormidium	Archaeplastida	Streptophyta	5.52	3.87
Klebsormidium	Archaeplastida	Streptophyta	5.52	3.87
Mesotaenium	Archaeplastida	Streptophyta	5.52	3.87
Pohlia	Archaeplastida	Streptophyta	5.52	3.87
Sanionia	Archaeplastida	Streptophyta	5.52	3.87
Streptosarcina	Archaeplastida	Streptophyta	5.52	3.87
Takakia	Archaeplastida	Streptophyta	5.52	3.87
Zygnema	Archaeplastida	Streptophyta	5.52	3.87
Glissandra	CRuMs	Glissandrida	0.24	0.03
Cryptomonas	Cryptista	Cryptomonadales	0.24	0.41
Chroomonas	Cryptista	Pyrenomonadales	0.48	0.16
Chroomonas	Cryptista	Pyrenomonadales	0.48	0.16
Diplonema	Discoba	Euglenozoa	0.72	4.44
Diplonema	Discoba	Euglenozoa	0.72	4.44
Rhynchopus	Discoba	Euglenozoa	0.72	4.44
Acrasis	Discoba	Heterolobosea	2.16	0.76
Naegleria	Discoba	Heterolobosea	2.16	0.76
Naegleria	Discoba	Heterolobosea	2.16	0.76
Willaertia	Discoba	Heterolobosea	2.16	0.76
Acrasis	Discoba	Heterolobosea	2.16	0.76
Harpagon	Discoba	Heterolobosea	2.16	0.76
Naegleria	Discoba	Heterolobosea	2.16	0.76
Tetramitus	Discoba	Heterolobosea	2.16	0.76
Tetramitus	Discoba	Heterolobosea	2.16	0.76
Chrysoculter	Haptista	Haptophyta	0.72	1.04
Pavlova	Haptista	Haptophyta	0.72	1.04
Phaeocystis	Haptista	Haptophyta	0.72	1.04
Microheliella	incertae sedis	Microheliella	0.24	0.03
Anaeramoeba	Metamonada	Anaeramoebidae	0.24	0.06
Hexamita	Metamonada	Fornicata	0.72	0.69
Gyromonas	Metamonada	Fornicata	0.72	0.69
Trepomonas	Metamonada	Fornicata	0.72	0.69
Trimastix	Metamonada	Preaxostyla	0.24	0.28
Hartaetosiga	Opisthokonta	Choanoflagellata	1.68	0.82
Mylnosiga	Opisthokonta	Choanoflagellata	1.68	0.82
Salpingoeca	Opisthokonta	Choanoflagellata	1.68	0.82
Salpingoeca	Opisthokonta	Choanoflagellata	1.68	0.82
Salpingoeca	Opisthokonta	Choanoflagellata	1.68	0.82
Salpingoeca	Opisthokonta	Choanoflagellata	1.68	0.82
Stephanoeca	Opisthokonta	Choanoflagellata	1.68	0.82
Ministeria	Opisthokonta	Filasterea	0.24	0.06
Acaulospora	Opisthokonta	Fungi	2.88	5.82
Ambispora	Opisthokonta	Fungi	2.88	5.82
Ascobolus	Opisthokonta	Fungi	2.88	5.82
Peziza	Opisthokonta	Fungi	2.88	5.82
Rhizina	Opisthokonta	Fungi	2.88	5.82
Rhizophagus	Opisthokonta	Fungi	2.88	5.82
Anthracobia	Opisthokonta	Fungi	2.88	5.82
Disciotis	Opisthokonta	Fungi	2.88	5.82
Gyromitra	Opisthokonta	Fungi	2.88	5.82
Paragyromitra	Opisthokonta	Fungi	2.88	5.82
Plectania	Opisthokonta	Fungi	2.88	5.82
Sarcoscypha	Opisthokonta	Fungi	2.88	5.82
Pirum	Opisthokonta	Ichthyosporea	0.24	0.44
Acropora	Opisthokonta	Metazoa	21.58	4.6
Actinia	Opisthokonta	Metazoa	21.58	4.6
Adineta	Opisthokonta	Metazoa	21.58	4.6
Amphibalanus	Opisthokonta	Metazoa	21.58	4.6
Amphimedon	Opisthokonta	Metazoa	21.58	4.6
Amphiura	Opisthokonta	Metazoa	21.58	4.6
Anneissia	Opisthokonta	Metazoa	21.58	4.6
Anopheles	Opisthokonta	Metazoa	21.58	4.6
Apis	Opisthokonta	Metazoa	21.58	4.6
Apostichopus	Opisthokonta	Metazoa	21.58	4.6
Archispirostreptus	Opisthokonta	Metazoa	21.58	4.6
Artemia	Opisthokonta	Metazoa	21.58	4.6
Asterias	Opisthokonta	Metazoa	21.58	4.6
Bolinopsis	Opisthokonta	Metazoa	21.58	4.6
Bombyx	Opisthokonta	Metazoa	21.58	4.6
Branchiostoma	Opisthokonta	Metazoa	21.58	4.6
Branchiostoma	Opisthokonta	Metazoa	21.58	4.6
Ciona	Opisthokonta	Metazoa	21.58	4.6
Clytia	Opisthokonta	Metazoa	21.58	4.6
Corticium	Opisthokonta	Metazoa	21.58	4.6
Danaus	Opisthokonta	Metazoa	21.58	4.6
Danio	Opisthokonta	Metazoa	21.58	4.6
Dendronephthya	Opisthokonta	Metazoa	21.58	4.6
Dermatophagoides	Opisthokonta	Metazoa	21.58	4.6
Diadema	Opisthokonta	Metazoa	21.58	4.6
Didymodactylos	Opisthokonta	Metazoa	21.58	4.6
Drosophila	Opisthokonta	Metazoa	21.58	4.6
Dysidea	Opisthokonta	Metazoa	21.58	4.6
Ephydatia	Opisthokonta	Metazoa	21.58	4.6
Eupentacta	Opisthokonta	Metazoa	21.58	4.6
Exaiptasia	Opisthokonta	Metazoa	21.58	4.6
Folsomia	Opisthokonta	Metazoa	21.58	4.6
Geodia	Opisthokonta	Metazoa	21.58	4.6
Halichondria	Opisthokonta	Metazoa	21.58	4.6
Homarus	Opisthokonta	Metazoa	21.58	4.6
Homo	Opisthokonta	Metazoa	21.58	4.6
Hydra	Opisthokonta	Metazoa	21.58	4.6
Hydractinia	Opisthokonta	Metazoa	21.58	4.6
Intoshia	Opisthokonta	Metazoa	21.58	4.6
Ixodes	Opisthokonta	Metazoa	21.58	4.6
Latimeria	Opisthokonta	Metazoa	21.58	4.6
Lepeophtheirus	Opisthokonta	Metazoa	21.58	4.6
Limulus	Opisthokonta	Metazoa	21.58	4.6
Lineus	Opisthokonta	Metazoa	21.58	4.6
Lingula	Opisthokonta	Metazoa	21.58	4.6
Liolophura	Opisthokonta	Metazoa	21.58	4.6
Lytechinus	Opisthokonta	Metazoa	21.58	4.6
Montipora	Opisthokonta	Metazoa	21.58	4.6
Myxine	Opisthokonta	Metazoa	21.58	4.6
Nematostella	Opisthokonta	Metazoa	21.58	4.6
Octopus	Opisthokonta	Metazoa	21.58	4.6
Oopsacas	Opisthokonta	Metazoa	21.58	4.6
Oscarella	Opisthokonta	Metazoa	21.58	4.6
Paramacrobiotus	Opisthokonta	Metazoa	21.58	4.6
Paramuricea	Opisthokonta	Metazoa	21.58	4.6
Parasteatoda	Opisthokonta	Metazoa	21.58	4.6
Patiria	Opisthokonta	Metazoa	21.58	4.6
Physeter	Opisthokonta	Metazoa	21.58	4.6
Pocillopora	Opisthokonta	Metazoa	21.58	4.6
Polypterus	Opisthokonta	Metazoa	21.58	4.6
Pomphorhynchus	Opisthokonta	Metazoa	21.58	4.6
Priapulus	Opisthokonta	Metazoa	21.58	4.6
Procambarus	Opisthokonta	Metazoa	21.58	4.6
Ptychodera	Opisthokonta	Metazoa	21.58	4.6
Pycnogonum	Opisthokonta	Metazoa	21.58	4.6
Ramazzottius	Opisthokonta	Metazoa	21.58	4.6
Rhopilema	Opisthokonta	Metazoa	21.58	4.6
Ridgeia	Opisthokonta	Metazoa	21.58	4.6
Rotaria	Opisthokonta	Metazoa	21.58	4.6
Scolopendra	Opisthokonta	Metazoa	21.58	4.6
Scutigera	Opisthokonta	Metazoa	21.58	4.6
Strongylocentrotus	Opisthokonta	Metazoa	21.58	4.6
Sycon	Opisthokonta	Metazoa	21.58	4.6
Tribolium	Opisthokonta	Metazoa	21.58	4.6
Trichinella	Opisthokonta	Metazoa	21.58	4.6
Uloborus	Opisthokonta	Metazoa	21.58	4.6
Watersipora	Opisthokonta	Metazoa	21.58	4.6
Aiolochroia	Opisthokonta	Metazoa	21.58	4.6
Aplysina	Opisthokonta	Metazoa	21.58	4.6
Beroe	Opisthokonta	Metazoa	21.58	4.6
Chondrilla	Opisthokonta	Metazoa	21.58	4.6
Copula	Opisthokonta	Metazoa	21.58	4.6
Deiopea	Opisthokonta	Metazoa	21.58	4.6
Hoilungia	Opisthokonta	Metazoa	21.58	4.6
Ianthella	Opisthokonta	Metazoa	21.58	4.6
Mesodasys	Opisthokonta	Metazoa	21.58	4.6
Pheronema	Opisthokonta	Metazoa	21.58	4.6
Polymastia	Opisthokonta	Metazoa	21.58	4.6
Scyphidium	Opisthokonta	Metazoa	21.58	4.6
Walteria	Opisthokonta	Metazoa	21.58	4.6
Nuclearia	Opisthokonta	Rotosphaerida	0.24	0.25
Verrucomonas	Rhizaria	Cercozoa	0.24	2.33
Leptophrys	Rhizaria	Endomyxa	0.48	0.38
Mikrocytos	Rhizaria	Endomyxa	0.48	0.38
Nonionella	Rhizaria	Retaria	0.24	2.36
Chattonella	Stramenopila	 Raphidophyceae	0.96	0.16
Chattonella	Stramenopila	 Raphidophyceae	0.96	0.16
Fibrocapsa	Stramenopila	 Raphidophyceae	0.96	0.16
Gonyostomum	Stramenopila	 Raphidophyceae	0.96	0.16
Poterioochromonas	Stramenopila	 Synurophyceae	0.24	0.25
Actinophrys	Stramenopila	Actinophryidae	0.24	0.06
Chaetoceros	Stramenopila	Bacillariophyta	15.83	9.98
Cylindrotheca	Stramenopila	Bacillariophyta	15.83	9.98
Fragilaria	Stramenopila	Bacillariophyta	15.83	9.98
Seminavis	Stramenopila	Bacillariophyta	15.83	9.98
Acanthoceras	Stramenopila	Bacillariophyta	15.83	9.98
Actinocyclus	Stramenopila	Bacillariophyta	15.83	9.98
Actinoptychus	Stramenopila	Bacillariophyta	15.83	9.98
Astartiella	Stramenopila	Bacillariophyta	15.83	9.98
Aulacodiscus	Stramenopila	Bacillariophyta	15.83	9.98
Aulacoseira	Stramenopila	Bacillariophyta	15.83	9.98
Biddulphiella	Stramenopila	Bacillariophyta	15.83	9.98
Campylosira	Stramenopila	Bacillariophyta	15.83	9.98
Castoridens	Stramenopila	Bacillariophyta	15.83	9.98
Cerataulina	Stramenopila	Bacillariophyta	15.83	9.98
Chaetoceros	Stramenopila	Bacillariophyta	15.83	9.98
Chaetoceros	Stramenopila	Bacillariophyta	15.83	9.98
Chaetoceros	Stramenopila	Bacillariophyta	15.83	9.98
Cyclotella	Stramenopila	Bacillariophyta	15.83	9.98
Delphineis	Stramenopila	Bacillariophyta	15.83	9.98
Denticula	Stramenopila	Bacillariophyta	15.83	9.98
Detonula	Stramenopila	Bacillariophyta	15.83	9.98
Detonula	Stramenopila	Bacillariophyta	15.83	9.98
Diprora	Stramenopila	Bacillariophyta	15.83	9.98
Endictya	Stramenopila	Bacillariophyta	15.83	9.98
Epithemia	Stramenopila	Bacillariophyta	15.83	9.98
Extubocellulus	Stramenopila	Bacillariophyta	15.83	9.98
Fragilaria	Stramenopila	Bacillariophyta	15.83	9.98
Fragilaria	Stramenopila	Bacillariophyta	15.83	9.98
Fragilariforma	Stramenopila	Bacillariophyta	15.83	9.98
Fragilariopsis	Stramenopila	Bacillariophyta	15.83	9.98
Haslea	Stramenopila	Bacillariophyta	15.83	9.98
Leyanella	Stramenopila	Bacillariophyta	15.83	9.98
Lithodesmium	Stramenopila	Bacillariophyta	15.83	9.98
Minidiscus	Stramenopila	Bacillariophyta	15.83	9.98
Minidiscus	Stramenopila	Bacillariophyta	15.83	9.98
Navicula	Stramenopila	Bacillariophyta	15.83	9.98
Neobrightwellia	Stramenopila	Bacillariophyta	15.83	9.98
Neodelphineis	Stramenopila	Bacillariophyta	15.83	9.98
Neofragilaria	Stramenopila	Bacillariophyta	15.83	9.98
Plagiogramma	Stramenopila	Bacillariophyta	15.83	9.98
Plagiostriata	Stramenopila	Bacillariophyta	15.83	9.98
Planktoniella	Stramenopila	Bacillariophyta	15.83	9.98
Planothidium	Stramenopila	Bacillariophyta	15.83	9.98
Podocystis	Stramenopila	Bacillariophyta	15.83	9.98
Porosira	Stramenopila	Bacillariophyta	15.83	9.98
Proboscia	Stramenopila	Bacillariophyta	15.83	9.98
Psammoneis	Stramenopila	Bacillariophyta	15.83	9.98
Rhabdonema	Stramenopila	Bacillariophyta	15.83	9.98
Serratifera	Stramenopila	Bacillariophyta	15.83	9.98
Skeletonema	Stramenopila	Bacillariophyta	15.83	9.98
Skeletonema	Stramenopila	Bacillariophyta	15.83	9.98
Stephanodiscus	Stramenopila	Bacillariophyta	15.83	9.98
Sternimirus	Stramenopila	Bacillariophyta	15.83	9.98
Surirella	Stramenopila	Bacillariophyta	15.83	9.98
Synedra	Stramenopila	Bacillariophyta	15.83	9.98
Thalassiosira	Stramenopila	Bacillariophyta	15.83	9.98
Thalassiosira	Stramenopila	Bacillariophyta	15.83	9.98
Thalassiosira	Stramenopila	Bacillariophyta	15.83	9.98
Thalassiosira	Stramenopila	Bacillariophyta	15.83	9.98
Thalassiosira	Stramenopila	Bacillariophyta	15.83	9.98
Thalassiosira	Stramenopila	Bacillariophyta	15.83	9.98
Thalassiosira	Stramenopila	Bacillariophyta	15.83	9.98
Trieres	Stramenopila	Bacillariophyta	15.83	9.98
Trigonium	Stramenopila	Bacillariophyta	15.83	9.98
Tryblionella	Stramenopila	Bacillariophyta	15.83	9.98
Ulnaria	Stramenopila	Bacillariophyta	15.83	9.98
Dinobryon	Stramenopila	Chrysophyceae	0.96	0.91
Dinobryon	Stramenopila	Chrysophyceae	0.96	0.91
Hydrurus	Stramenopila	Chrysophyceae	0.96	0.91
Ochromonas	Stramenopila	Chrysophyceae	0.96	0.91
Cubaremonas	Stramenopila	Developea	0.72	0.19
Develocauda	Stramenopila	Developea	0.72	0.19
Developayella	Stramenopila	Developea	0.72	0.19
Vacuoliviride	Stramenopila	Eustigmatophyceae	0.24	0.41
Aplanochytrium	Stramenopila	Labyrinthulomycetes	0.24	0.35
Olisthodiscus	Stramenopila	Olisthodiscophyceae	0.48	0.06
Olisthodiscus	Stramenopila	Olisthodiscophyceae	0.48	0.06
Aphanomyces	Stramenopila	Oomycota	8.63	2.23
Lagenidium	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Pythium	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Phytophthora	Stramenopila	Oomycota	8.63	2.23
Pythium	Stramenopila	Oomycota	8.63	2.23
Pythium	Stramenopila	Oomycota	8.63	2.23
Sclerospora	Stramenopila	Oomycota	8.63	2.23
Incisomonas	Stramenopila	Opalozoa	0.24	0.44
Pirsonia	Stramenopila	Pirsoniales	0.24	0.13
Pylaiella	Stramenopila	PX Clade	10.07	3.43
Alaria	Stramenopila	PX Clade	10.07	3.43
Botrydiopsis	Stramenopila	PX Clade	10.07	3.43
Chorda	Stramenopila	PX Clade	10.07	3.43
Chordaria	Stramenopila	PX Clade	10.07	3.43
Desmarestia	Stramenopila	PX Clade	10.07	3.43
Dictyota	Stramenopila	PX Clade	10.07	3.43
Ecklonia	Stramenopila	PX Clade	10.07	3.43
Ecklonia	Stramenopila	PX Clade	10.07	3.43
Ectocarpus	Stramenopila	PX Clade	10.07	3.43
Ectocarpus	Stramenopila	PX Clade	10.07	3.43
Egregia	Stramenopila	PX Clade	10.07	3.43
Eisenia	Stramenopila	PX Clade	10.07	3.43
Feldmannia	Stramenopila	PX Clade	10.07	3.43
Fucus	Stramenopila	PX Clade	10.07	3.43
Fucus	Stramenopila	PX Clade	10.07	3.43
Fucus	Stramenopila	PX Clade	10.07	3.43
Fucus	Stramenopila	PX Clade	10.07	3.43
Fucus	Stramenopila	PX Clade	10.07	3.43
Himanthalia	Stramenopila	pX Clade	0.24	0.03
Laminarionema	Stramenopila	PX Clade	10.07	3.43
Lessonia	Stramenopila	PX Clade	10.07	3.43
Myriotrichia	Stramenopila	PX Clade	10.07	3.43
Nemacystus	Stramenopila	PX Clade	10.07	3.43
Petalonia	Stramenopila	PX Clade	10.07	3.43
Pleurocladia	Stramenopila	PX Clade	10.07	3.43
Porterinema	Stramenopila	PX Clade	10.07	3.43
Pseudochorda	Stramenopila	PX Clade	10.07	3.43
Punctaria	Stramenopila	PX Clade	10.07	3.43
Saccorhiza	Stramenopila	PX Clade	10.07	3.43
Sargassum	Stramenopila	PX Clade	10.07	3.43
Sargassum	Stramenopila	PX Clade	10.07	3.43
Sargassum	Stramenopila	PX Clade	10.07	3.43
Sargassum	Stramenopila	PX Clade	10.07	3.43
Sargassum	Stramenopila	PX Clade	10.07	3.43
Sargassum	Stramenopila	PX Clade	10.07	3.43
Schizocladia	Stramenopila	PX Clade	10.07	3.43
Scytosiphon	Stramenopila	PX Clade	10.07	3.43
Silvetia	Stramenopila	PX Clade	10.07	3.43
Sphaerotrichia	Stramenopila	PX Clade	10.07	3.43
Tetrasporopsis	Stramenopila	PX Clade	10.07	3.43
Tetrasporopsis	Stramenopila	PX Clade	10.07	3.43
Undaria	Stramenopila	PX Clade	10.07	3.43
